date,amb_hdln_yoy,dem_hdln_yoy,sup_hdln_yoy,dem_hdln_mom,sup_hdln_mom,amb_hdln_mom,amb_core_yoy,dem_core_yoy,sup_core_yoy,dem_core_mom,sup_core_mom,amb_core_mom
1969m1,,,,.07,.28,.04,,,,.08,.24,.06
1969m2,,,,.07,.14,.05,,,,.1,.18,.07
1969m3,,,,.12,.31,.05,,,,.14,.27,.06
1969m4,,,,.11,.29,.05,,,,.09,.25,.05
1969m5,,,,.08,.23,.1,,,,.09,.28,.03
1969m6,,,,.09,.34,.06,,,,.11,.17,.07
1969m7,,,,.01,.37,.05,,,,.03,.36,.07
1969m8,,,,.13,.12,.03,,,,.11,.14,.03
1969m9,,,,.07,.33,.02,,,,.1,.28,.02
1969m10,,,,.08,.22,.03,,,,.12,.26,.04
1969m11,,,,.08,.32,.03,,,,.11,.25,.03
1969m12,.5600000000000001,.96,3.33,.04,.36,.06,.6,1.14,2.95,.04,.25,.08
1970m1,.54,1.13,3.14,.25,.09,.02,.5700000000000001,1.26,2.81,.2,.1,.03
1970m2,.6,1.2,3.16,.14,.15,.11,.5600000000000001,1.32,2.8,.16,.16,.06
1970m3,.5700000000000001,1.14,3.03,.05,.18,.02,.54,1.24,2.8,.06,.28,.03
1970m4,.62,1.13,3.05,.1,.31,.1,.6,1.28,2.7,.12,.16,.11
1970m5,.55,1.1,3.06,.05,.25,.02,.61,1.27,2.66,.09,.23,.03
1970m6,.59,1.06,2.83,.05,.11,.1,.65,1.21,2.69,.06,.2,.11
1970m7,.59,1.19,2.63,.14,.17,.05,.63,1.3,2.52,.12,.2,.05
1970m8,.63,1.08,2.67,.03,.16,.07,.65,1.3,2.57,.11,.19,.05
1970m9,.6900000000000001,1.16,2.56,.14,.23,.07,.71,1.29,2.53,.09,.24,.08
1970m10,.72,1.19,2.65,.12,.31,.07,.75,1.31,2.54,.14,.27,.08
1970m11,.75,1.2,2.58,.09,.25,.06,.79,1.31,2.64,.1,.34,.07
1970m12,.75,1.36,2.4,.2,.17,.06,.76,1.5,2.6,.24,.21,.05
1971m1,.76,1.11,2.48,0,.17,.02,.76,1.45,2.7,.14,.2,.03
1971m2,.65,1.08,2.5,.11,.18,0,.7000000000000001,1.47,2.73,.19,.19,0
1971m3,.65,1.09,2.58,.06,.25,.02,.6900000000000001,1.52,2.64,.12,.18,.02
1971m4,.59,1.08,2.53,.09,.26,.04,.62,1.51,2.68,.11,.21,.05
1971m5,.61,1.16,2.52,.13,.24,.05,.65,1.57,2.68,.15,.23,.06
1971m6,.5600000000000001,1.18,2.74,.07,.32,.05,.6,1.6,2.74,.08,.26,.05
1971m7,.5700000000000001,1.12,2.72,.08,.16,.06,.66,1.56,2.73,.08,.19,.12
1971m8,.53,1.17,2.76,.07,.19,.03,.64,1.55,2.56,.09,.02,.03
1971m9,.42,1.12,2.62,.1,.1,-.04,.51,1.56,2.43,.11,.12,-.05
1971m10,.37,1.03,2.41,.04,.1,.02,.45,1.44,2.27,.03,.11,.02
1971m11,.34,1,2.29,.05,.13,.03,.41,1.39,2.08,.05,.15,.03
1971m12,.28,1.02,2.28,.22,.17,0,.36,1.26,2.07,.11,.2,.01
1972m1,.31,1.07,2.42,.05,.31,.06,.41,1.22,2.12,.11,.25,.07
1972m2,.35,1.16,2.4,.2,.16,.03,.46,1.05,2.12,.02,.19,.06
1972m3,.36,1.16,2.2,.06,.04,.04,.48,1.01,2.02,.07,.09,.04
1972m4,.34,1.1,2.04,.03,.11,.02,.46,.98,1.94,.08,.12,.03
1972m5,.35,1.05,1.89,.07,.09,.06,.47,.89,1.82,.06,.11,.07
1972m6,.31,1.04,1.65,.06,.08,.01,.44,.91,1.64,.1,.09,.02
1972m7,.29,1,1.75,.05,.27,.04,.36,.87,1.65,.05,.19,.05
1972m8,.3,1.08,1.67,.15,.11,.04,.38,.8200000000000001,1.75,.05,.12,.05
1972m9,.5600000000000001,1.09,1.69,.11,.12,.22,.51,.84,1.76,.12,.13,.08
1972m10,.55,1.16,1.59,.11,0,.02,.51,.93,1.58,.11,-.07,.02
1972m11,.54,1.17,1.68,.06,.23,.02,.5,.92,1.64,.04,.21,.02
1972m12,.5600000000000001,1.07,1.69,.12,.18,.02,.51,.88,1.65,.07,.21,.02
1973m1,.5,1.05,1.65,.03,.27,0,.43,.8,1.44,.02,.04,-.01
1973m2,.48,1.02,1.84,.16,.35,.01,.39,.9500000000000001,1.36,.18,.12,.01
1973m3,.51,1.05,2.35,.1,.54,.07,.4,.99,1.52,.11,.24,.06
1973m4,.55,1.13,2.82,.12,.5700000000000001,.06,.45,1.05,1.77,.14,.37,.07
1973m5,.52,1.26,3,.2,.27,.02,.4,1.07,1.94,.09,.28,.02
1973m6,.6900000000000001,1.31,3.2,.11,.28,.18,.47,1.07,2.11,.09,.26,.08
1973m7,.7000000000000001,1.32,3.19,.06,.26,.05,.48,1.08,2.24,.06,.32,.06
1973m8,.7000000000000001,1.31,4.11,.14,1,.03,.47,1.2,2.39,.16,.27,.04
1973m9,.59,1.29,4.2,.09,.21,.11,.53,1.17,2.53,.1,.27,.14
1973m10,.59,1.25,4.71,.07,.49,.02,.53,1.14,2.9,.08,.29,.02
1973m11,.8,1.36,4.91,.17,.43,.23,.58,1.28,2.93,.18,.24,.07
1973m12,.92,1.34,5.34,.11,.59,.14,.63,1.32,3.09,.11,.37,.07
1974m1,.97,1.58,5.72,.27,.64,.05,.68,1.5,3.3,.21,.25,.04
1974m2,1.02,2.14,5.75,.71,.39,.06,.74,1.51,3.57,.19,.38,.07
1974m3,.98,2.8,5.58,.76,.38,.03,.72,1.71,3.77,.31,.44,.04
1974m4,.97,2.91,5.45,.22,.43,.05,.72,1.83,3.84,.26,.44,.07
1974m5,.99,3.02,5.83,.31,.63,.05,.75,2.1,4.12,.35,.55,.06
1974m6,.88,3.16,6.08,.25,.53,.07,.73,2.35,4.5,.34,.64,.06
1974m7,.87,3.39,6.24,.29,.41,.04,.7000000000000001,2.57,4.78,.28,.58,.02
1974m8,1.24,3.51,5.61,.25,.4,.39,.92,2.64,4.99,.23,.47,.26
1974m9,1.2,3.82,5.99,.4,.5700000000000001,.07,.86,2.64,5.46,.1,.73,.07
1974m10,1.27,3.89,6.02,.13,.51,.08,.9500000000000001,2.71,5.71,.15,.53,.11
1974m11,1.29,3.85,5.96,.12,.38,.25,.99,2.68,5.96,.15,.47,.11
1974m12,1.22,3.94,5.91,.2,.53,.06,1.01,2.79,5.99,.22,.4,.09
1975m1,1.27,3.71,5.74,.04,.48,.11,1.06,2.64,6.17,.07,.42,.1
1975m2,1.24,3.19,5.66,.21,.31,.02,1.09,2.71,6.13,.25,.35,.1
1975m3,1.33,2.53,5.4,.1,.13,.12,1.18,2.53,5.96,.13,.27,.13
1975m4,1.33,2.39,5.18,.08,.22,.04,1.18,2.42,5.8,.15,.28,.06
1975m5,1.4,2.21,4.68,.13,.15,.12,1.24,2.16,5.45,.09,.22,.12
1975m6,1.39,2.04,4.63,.08,.48,.06,1.26,1.93,5.100000000000001,.12,.29,.08
1975m7,1.38,2.15,4.67,.4,.45,.02,1.26,1.86,4.9,.21,.39,.02
1975m8,1.12,1.98,4.47,.09,.2,.14,1.07,1.73,4.58,.1,.17,.08
1975m9,1.07,1.69,4.25,.11,.36,.02,1.08,1.74,4.19,.1,.35,.09
1975m10,1.05,1.74,4.08,.18,.34,.07,1.02,1.78,3.91,.19,.26,.04
1975m11,.8200000000000001,1.81,4.14,.19,.43,.03,.9400000000000001,1.84,3.86,.21,.42,.03
1975m12,.9500000000000001,1.72,3.83,.12,.24,.19,1.02,1.79,3.73,.16,.28,.17
1976m1,.89,1.89,3.49,.2,.14,.05,.98,1.99,3.51,.26,.2,.06
1976m2,.9400000000000001,1.81,3.1,.13,-.07,.07,.97,1.92,3.28,.19,.12,.09
1976m3,.8200000000000001,1.82,3,.12,.02,.01,.85,1.92,3.2,.13,.19,.02
1976m4,.8200000000000001,1.85,2.86,.1,.08,.04,.8300000000000001,1.9,3.14,.13,.23,.03
1976m5,.86,1.84,2.91,.12,.2,.16,.88,1.92,3.12,.12,.19,.18
1976m6,.84,1.88,2.69,.13,.27,.05,.85,1.96,3.02,.15,.2,.05
1976m7,.96,1.52,2.58,.04,.34,.13,.99,1.8,2.99,.05,.35,.15
1976m8,.9,1.55,2.74,.12,.36,.08,1,1.82,3.19,.12,.37,.09
1976m9,1,1.65,2.61,.21,.24,.12,1.05,1.92,3.09,.21,.25,.14
1976m10,1.03,1.64,2.53,.17,.26,.09,1.1,1.86,3.1,.13,.27,.09
1976m11,1.02,1.72,2.26,.27,.17,.02,1.15,1.9,2.8,.25,.13,.08
1976m12,.9400000000000001,1.76,2.33,.15,.31,.11,1.07,1.84,2.88,.1,.36,.09
1977m1,1.03,1.67,2.53,.11,.34,.14,1.17,1.69,3.03,.11,.35,.15
1977m2,.97,1.78,3.15,.24,.54,.01,1.09,1.78,3.23,.28,.32,.02
1977m3,1.08,1.85,3.33,.19,.2,.12,1.18,1.84,3.17,.18,.14,.11
1977m4,1.15,1.89,3.59,.14,.33,.12,1.28,1.88,3.13,.17,.19,.13
1977m5,1.07,1.97,3.61,.2,.23,.08,1.21,1.85,3.27,.08,.32,.11
1977m6,1.2,1.91,3.65,.07,.31,.18,1.33,1.82,3.38,.12,.31,.17
1977m7,1.17,2.04,3.58,.17,.26,.09,1.28,1.95,3.36,.19,.33,.1
1977m8,1.26,2.08,3.35,.16,.13,.18,1.33,2.01,3.16,.18,.17,.15
1977m9,1.21,2,3.29,.13,.18,.07,1.26,1.94,3.14,.14,.22,.07
1977m10,1.17,2.04,3.23,.21,.21,.05,1.25,2.03,3.05,.22,.19,.07
1977m11,1.35,1.93,3.28,.16,.22,.2,1.26,1.95,3.18,.16,.26,.1
1977m12,1.37,1.95,3.15,.17,.18,.13,1.31,2,3.05,.15,.23,.14
1978m1,1.31,1.99,3.17,.16,.36,.07,1.26,2.09,2.99,.2,.29,.1
1978m2,1.35,1.93,2.86,.18,.24,.05,1.31,1.87,2.92,.07,.26,.06
1978m3,1.32,2.01,2.96,.27,.3,.08,1.28,2.02,2.92,.33,.13,.08
1978m4,1.25,2.13,3.08,.25,.46,.05,1.24,2.16,2.97,.31,.25,.09
1978m5,1.32,2.07,3.28,.15,.42,.15,1.28,2.25,2.92,.18,.27,.14
1978m6,1.18,2.39,3.2,.38,.23,.05,1.17,2.37,2.87,.24,.26,.06
1978m7,1.18,2.39,3.22,.17,.29,.09,1.12,2.39,2.87,.2,.33,.05
1978m8,1.15,2.33,3.34,.1,.25,.15,1.11,2.3,3.01,.09,.3,.14
1978m9,1.15,2.36,3.51,.16,.35,.06,1.12,2.35,3.1,.19,.31,.08
1978m10,1.27,2.5,3.59,.35,.28,.17,1.16,2.43,3.23,.31,.32,.11
1978m11,1.11,2.48,3.76,.14,.39,.04,1.1,2.43,3.31,.16,.34,.04
1978m12,1.07,2.4,3.88,.09,.3,.1,1,2.35,3.38,.07,.29,.04
1979m1,1.28,2.38,3.85,.14,.32,.29,.9400000000000001,2.23,3.46,.09,.38,.05
1979m2,1.11,2.45,4.01,.24,.4,-.12,.73,2.41,3.42,.24,.22,-.15
1979m3,1.07,2.37,4.28,.2,.5600000000000001,.04,.67,2.31,3.61,.24,.31,.02
1979m4,1.17,2.57,4.24,.45,.42,.15,.77,2.44,3.63,.43,.27,.19
1979m5,1.06,2.94,4.29,.51,.47,.05,.68,2.76,3.67,.49,.31,.06
1979m6,1.17,2.95,4.350000000000001,.38,.29,.15,.8100000000000001,2.68,3.61,.16,.21,.19
1979m7,1.28,3.1,4.3,.32,.24,.21,.96,2.56,3.5,.09,.22,.2
1979m8,1.49,3.13,4.34,.12,.29,.35,.9400000000000001,2.59,3.63,.12,.43,.12
1979m9,1.68,3.26,4.350000000000001,.29,.35,.25,.92,2.71,3.63,.3,.32,.06
1979m10,1.76,3.03,4.52,.13,.44,.25,.93,2.54,3.79,.14,.47,.12
1979m11,1.8,3.02,4.62,.13,.5,.07,.98,2.51,3.89,.12,.43,.09
1979m12,1.89,3.19,4.72,.26,.39,.19,1.01,2.63,4.05,.2,.45,.07
1980m1,1.62,3.37,5.12,.32,.71,.02,.99,2.94,4.02,.39,.35,.03
1980m2,1.9,3.61,5.17,.48,.45,.16,1.24,3.03,4.4,.33,.59,.09
1980m3,1.91,3.99,5.22,.5600000000000001,.61,.05,1.24,3.09,4.7,.3,.6,.02
1980m4,1.81,3.73,5.08,.2,.28,.05,1.11,2.81,4.73,.15,.29,.06
1980m5,1.87,3.34,5.16,.13,.54,.1,1.16,2.49,4.94,.17,.52,.11
1980m6,1.89,3.04,5.24,.09,.38,.17,1.19,2.35,5.17,.03,.42,.21
1980m7,1.72,2.9,5.58,.17,.5700000000000001,.04,1.05,2.46,5.4,.19,.45,.06
1980m8,1.45,2.98,5.84,.21,.54,.09,1.04,2.53,5.39,.2,.42,.11
1980m9,1.27,2.97,6.07,.28,.5700000000000001,.07,1.08,2.58,5.58,.35,.5,.09
1980m10,1.22,3.1,5.97,.26,.34,.2,1.08,2.77,5.47,.33,.37,.12
1980m11,1.21,3.18,6.02,.21,.55,.06,1.06,2.91,5.49,.26,.45,.07
1980m12,1.14,3.13,5.95,.21,.33,.11,1.11,2.91,5.33,.19,.29,.12
1981m1,1.36,3.21,5.55,.4,.33,.25,1.4,2.72,5.34,.2,.36,.32
1981m2,1.32,2.87,5.89,.14,.77,.12,1.46,2.54,5.19,.15,.44,.15
1981m3,1.38,2.47,5.69,.17,.42,.11,1.54,2.45,4.81,.22,.24,.1
1981m4,1.27,2.46,5.72,.19,.31,-.06,1.57,2.54,4.82,.24,.31,.1
1981m5,1.19,2.4,5.52,.07,.35,.02,1.54,2.54,4.75,.17,.45,.07
1981m6,1.01,2.38,5.5,.07,.35,-.01,1.31,2.6,4.75,.09,.43,-.01
1981m7,1.08,2.37,5.26,.16,.34,.11,1.38,2.61,4.57,.2,.27,.13
1981m8,1.05,2.2,5.25,.04,.53,.06,1.34,2.45,4.71,.05,.5600000000000001,.07
1981m9,1.14,1.99,5.04,.07,.37,.16,1.42,2.15,4.63,.06,.42,.17
1981m10,.97,1.86,4.99,.13,.28,.04,1.37,2,4.600000000000001,.17,.35,.08
