time_month,dem_contr_y_head,sup_contr_y_head,dem_contr_m_head,sup_contr_m_head,dem_contr_y_core,sup_contr_y_core,dem_contr_m_core,sup_contr_m_core
1969m1,,,.09,.31,,,.1,.28
1969m2,,,.07,.18,,,.11,.24
1969m3,,,.16,.32,,,.19,.28
1969m4,,,.13,.31,,,.11,.28
1969m5,,,.09,.31,,,.12,.28
1969m6,,,.13,.35,,,.16,.19
1969m7,,,.02,.42,,,.04,.42
1969m8,,,.15,.13,,,.13,.15
1969m9,,,.09,.33,,,.12,.28
1969m10,,,.1,.24,,,.14,.28
1969m11,,,.11,.33,,,.13,.25
1969m12,1.21,3.63,.08,.38,1.45,3.24,.1,.28
1970m1,1.39,3.42,.26,.1,1.57,3.07,.22,.11
1970m2,1.47,3.49,.15,.25,1.64,3.04,.18,.21
1970m3,1.38,3.36,.06,.19,1.53,3.05,.08,.29
1970m4,1.37,3.43,.12,.38,1.57,3.02,.14,.25
1970m5,1.33,3.38,.06,.26,1.55,2.98,.1,.25
1970m6,1.32,3.16,.12,.14,1.53,3.02,.14,.22
1970m7,1.48,2.92,.18,.18,1.65,2.81,.17,.21
1970m8,1.37,3.02,.04,.23,1.63,2.89,.11,.24
1970m9,1.46,2.95,.18,.26,1.65,2.89,.14,.28
1970m10,1.52,3.05,.16,.34,1.7,2.91,.19,.31
1970m11,1.55,2.98,.14,.26,1.73,3.01,.16,.35
1970m12,1.69,2.82,.22,.21,1.9,2.96,.27,.23
1971m1,1.45,2.89,.02,.17,1.84,3.06,.17,.21
1971m2,1.4,2.83,.11,.18,1.86,3.04,.19,.19
1971m3,1.42,2.89,.08,.25,1.9,2.94,.13,.19
1971m4,1.4,2.79,.11,.28,1.9,2.92,.13,.24
1971m5,1.5,2.78,.16,.26,1.99,2.92,.19,.25
1971m6,1.48,3,.09,.35,1.95,2.99,.1,.3
1971m7,1.35,3.07,.06,.25,1.87,3.08,.09,.29
1971m8,1.41,3.04,.09,.2,1.88,2.87,.12,.03
1971m9,1.26,2.89,.04,.12,1.77,2.74,.03,.15
1971m10,1.16,2.65,.05,.11,1.62,2.54,.05,.11
1971m11,1.07,2.56,.05,.16,1.5,2.37,.04,.18
1971m12,1.07,2.51,.22,.17,1.34,2.35,.11,.21
1972m1,1.1,2.7,.06,.35,1.29,2.45,.12,.31
1972m2,1.23,2.68,.23,.16,1.17,2.47,.06,.21
1972m3,1.22,2.5,.07,.07,1.12,2.4,.08,.11
1972m4,1.15,2.34,.03,.12,1.07,2.31,.08,.15
1972m5,1.1,2.19,.11,.11,.98,2.2,.1,.13
1972m6,1.08,1.92,.07,.08,.99,1.99,.11,.09
1972m7,1.1,1.95,.08,.28,.98,1.9,.08,.21
1972m8,1.18,1.87,.17,.12,.9400000000000001,2.02,.07,.14
1972m9,1.46,1.88,.32,.13,1.11,2.01,.2,.14
1972m10,1.52,1.78,.11,0,1.18,1.83,.12,-.06
1972m11,1.53,1.86,.06,.24,1.18,1.87,.04,.23
1972m12,1.45,1.87,.14,.18,1.15,1.88,.08,.22
1973m1,1.42,1.79,.03,.27,1.05,1.61,.02,.04
1973m2,1.36,1.98,.17,.35,1.18,1.52,.19,.12
1973m3,1.41,2.5,.12,.59,1.22,1.69,.13,.28
1973m4,1.52,2.99,.14,.61,1.3,1.96,.16,.42
1973m5,1.62,3.16,.21,.28,1.29,2.13,.09,.3
1973m6,1.71,3.49,.17,.41,1.34,2.31,.16,.27
1973m7,1.73,3.48,.1,.27,1.36,2.43,.11,.32
1973m8,1.71,4.41,.15,1.02,1.46,2.59,.17,.3
1973m9,1.48,4.59,.09,.31,1.37,2.86,.1,.41
1973m10,1.5,5.05,.13,.45,1.4,3.16,.16,.23
1973m11,1.64,5.43,.21,.62,1.59,3.2,.23,.26
1973m12,1.71,5.9,.2,.63,1.64,3.41,.13,.43
1974m1,1.98,6.29,.31,.65,1.87,3.62,.25,.25
1974m2,2.58,6.33,.76,.4,1.92,3.9,.25,.4
1974m3,3.22,6.140000000000001,.76,.4,2.12,4.09,.32,.47
1974m4,3.31,6.01,.23,.48,2.22,4.16,.26,.49
1974m5,3.43,6.4,.32,.67,2.51,4.46,.37,.6
1974m6,3.57,6.56,.3,.55,2.72,4.87,.36,.67
1974m7,3.75,6.75,.28,.46,2.88,5.17,.27,.62
1974m8,3.91,6.45,.3,.74,3,5.55,.29,.67
1974m9,4.24,6.77,.42,.63,3.03,5.93,.13,.78
1974m10,4.26,6.91,.14,.58,3.03,6.34,.16,.63
1974m11,4.4,6.7,.35,.41,3.03,6.600000000000001,.22,.51
1974m12,4.44,6.62,.24,.5600000000000001,3.16,6.61,.27,.44
1975m1,4.24,6.48,.11,.52,3.03,6.84,.12,.47
1975m2,3.69,6.4,.22,.32,3.12,6.81,.33,.37
1975m3,3.1,6.17,.18,.17,3.02,6.65,.22,.31
1975m4,2.96,5.94,.09,.26,2.92,6.48,.16,.33
1975m5,2.78,5.51,.15,.26,2.66,6.18,.11,.32
1975m6,2.6,5.47,.12,.51,2.45,5.84,.16,.33
