date,dem_goods_hdln_yoy,sup_goods_hdln_yoy,dem_hous_hdln_yoy,sup_hous_hdln_yoy,dem_serv_ex_hous_hdln_yoy,sup_serv_ex_hous_hdln_yoy,dem_goods_hdln_mom,sup_goods_hdln_mom,dem_hous_hdln_mom,sup_hous_hdln_mom,dem_serv_ex_hous_hdln_mom,sup_serv_ex_hous_hdln_mom,dem_goods_core_yoy,sup_goods_core_yoy,dem_hous_core_yoy,sup_hous_core_yoy,dem_serv_ex_hous_core_yoy,sup_serv_ex_hous_core_yoy,dem_goods_core_mom,sup_goods_core_mom,dem_hous_core_mom,sup_hous_core_mom,dem_serv_ex_hous_core_mom,sup_serv_ex_hous_core_mom
1969m1,,,,,,,.041447211,.12584561,.0011312724,.035041429,.045804698,.14363055,,,,,,,.047572847,.048911471,.0014552558,.045076888,.052662101,.18519205
1969m2,,,,,,,.040988714,.043770961,0,.017163763,.02929485,.12107715,,,,,,,.06887418,.058265571,0,.022093304,.037708513,.15599704
1969m3,,,,,,,.063496664,.1640795,.034032263,.0054426119,.057479158,.14640394,,,,,,,.069466606,.097496204,.043796744,.0070041963,.073970966,.17641564
1969m4,,,,,,,.067369863,.16330267,0,.020697372,.063230187,.12797455,,,,,,,.03751627,.090088159,0,.026664397,.069273062,.16518724
1969m5,,,,,,,.06197818,.08336588,0,.088202283,.030225545,.14103879,,,,,,,.077035852,-.0033816192,0,.11331949,.038832817,.17513062
1969m6,,,,,,,.045608744,.2644777,0,.017973488,.084905297,.071940556,,,,,,,.051040731,.075746499,0,.023120234,.1092181,.086607546
1969m7,,,,,,,-.012122668,.19637614,0,.083831392,.032152589,.1375735,,,,,,,.0091926455,.13891177,0,.10764606,.035199061,.17185941
1969m8,,,,,,,.10414676,-.0028657152,0,.018713793,.044945542,.11447223,,,,,,,.074406043,-.013332848,0,.024072796,.057816442,.14116123
1969m9,,,,,,,.012037083,.16496836,.033889435,.015884539,.039296515,.14857434,,,,,,,.030678261,.076545656,.043606874,.020439265,.04528337,.18526572
1969m10,,,,,,,.029683998,.066377304,.033241838,.017308127,.036668107,.15850735,,,,,,,.052088119,.076446541,.042659875,.022211846,.047056876,.18632019
1969m11,,,,,,,.021095036,.20557866,0,.052223563,.086069122,.067422874,,,,,,,.025826599,.10516493,0,.067212231,.10541932,.081228741
1969m12,.49978495,1.6708493,.13648272,.39016008,.57629347,1.554215,.023566237,.18837893,.034121916,.01738419,.025714623,.16993351,.57188272,.78544617,.1755476,.50179958,.70014,1.9379735,.027535658,.033433165,.043920405,.022376252,.026962679,.21873182
1970m1,.58501959,1.5595198,.177145,.36904812,.6231308,1.47686,.12635727,.015838778,.041748494,.013928716,.092548683,.066726193,.57189465,.74797869,.22792816,.47463179,.76682568,1.8323898,.047541324,.011644952,.053748552,.017932344,.11915062,.080435447
1970m2,.60145855,1.6355991,.17920732,.38559437,.68817139,1.4486194,.057554409,.11963849,.0020666195,.03366071,.094159648,.092898749,.55603981,.74388981,.23059845,.49608946,.85138083,1.7848253,.053106766,.05417018,.0026725137,.04352941,.12202241,.10869844
1970m3,.54368973,1.4797926,.14642477,.44054985,.68525076,1.4198542,.0058737593,.0095456559,.0012961006,.060328718,.054581206,.11787078,.49579144,.70723295,.18839836,.5669117,.84780455,1.759541,.0093389917,.060963608,.0016690512,.077688202,.070413634,.15137962
1970m4,.49302578,1.5550613,.17876625,.42037964,.69561005,1.4371872,.016836856,.23789993,.03234471,.00058610487,.073568605,.14536603,.47292709,.68200827,.23019314,.54090023,.86197853,1.7819881,.014735184,.064939447,.041771408,.00075692212,.083408646,.18773222
1970m5,.45925379,1.5417695,.17907619,.39217472,.69465637,1.4269948,.028263859,.069696493,.00031554117,.060035951,.02927479,.1307501,.45758486,.6957531,.23059845,.5048871,.86096525,1.7700911,.061719738,.010361721,.0004066987,.077379905,.037860159,.16310118
1970m6,.45120716,1.2854338,.19330978,.40923357,.6734848,1.4525414,.037604116,.010304781,.014196592,.034982856,.063809529,.097333446,.44957399,.68420172,.248909,.52690506,.82802773,1.797688,.04306731,.064230457,.018292977,.045077052,.076418266,.11410908
1970m7,.53497553,1.1734605,.19592047,.35800934,.74734688,1.377058,.071521752,.085167244,.0026123421,.032691225,.10585541,.062561907,.47373772,.63558817,.25225878,.46118498,.92387199,1.7006397,.033308513,.090342142,.0033648969,.042108808,.1307794,.07552027
1970m8,.40663481,1.2677193,.19592047,.40240288,.76192617,1.3335347,-.023925092,.090964869,0,.063064978,.059403643,.071368188,.43545961,.71821213,.25225878,.51839352,.93758106,1.6450524,.036185801,.069039486,0,.08117111,.071403928,.086220436
1970m9,.54439306,1.1641145,.16225576,.42418242,.75479746,1.3493419,.14954494,.062166311,.00026312924,.037695613,.032185707,.16433938,.50213337,.68169832,.2089262,.54639578,.93370676,1.6481042,.097216487,.0402341,.00033847068,.048488945,.041401397,.18832707
1970m10,.57476759,1.2787819,.16031265,.44032335,.78368187,1.3192058,.059903607,.18044706,.031317383,.033411928,.065469705,.12862696,.51550865,.73181391,.20661354,.56728125,.97119808,1.5986443,.065434404,.12643026,.04035081,.043049518,.084354289,.13749219
1970m11,.58321953,1.1722565,.16031265,.43715239,.80486536,1.3617158,.029569617,.099598907,0,.049073361,.10722403,.10970435,.51985979,.79795122,.20661354,.56320429,.99823475,1.6355157,.030184807,.17096227,0,.063137084,.13244586,.11788865
1970m12,.67602396,1.0227203,.12615919,.51596165,.88624954,1.2683988,.11615644,.039738588,0,.095996886,.10683044,.077245504,.62291622,.78847408,.16264915,.66504478,1.1095405,1.4947534,.1304073,.023980279,0,.12387261,.13785203,.078998998
1971m1,.50516129,1.0468721,.11818409,.50230026,.82546473,1.3327837,-.04399484,.039842039,.033752259,.00028714311,.031963557,.13080983,.66876411,.82154274,.15249252,.64744949,1.0203481,1.5782833,.093253881,.044587608,.043601189,.00037093167,.030262034,.16352102
1971m2,.4508853,.99505186,.14339685,.50569773,.80864429,1.3146877,.0033522826,.067815587,.027275421,.036986008,.077435948,.074829489,.67952871,.8191824,.184834,.65151453,.98778009,1.5601754,.063753963,.051740911,.035010524,.047474958,.089664072,.090622172
1971m3,.42027235,1.1242628,.157094,.47638416,.8420229,1.2778521,-.024685785,.13780175,.014985953,.031015033,.08781068,.081339888,.66900253,.81545115,.20236969,.61354637,1.0301471,1.4962435,-.0010807655,.057102315,.019212762,.039762862,.1125778,.087954387
1971m4,.43292046,1.0412812,.13834238,.50940514,.83026886,1.2270808,.029455934,.15545562,.013585856,.033480749,.061767891,.094461419,.69175959,.83774328,.17800331,.65582991,1.0258675,1.4144421,.037394173,.087173454,.017385442,.042844381,.079042651,.10587298
1971m5,.46827793,1.0688543,.13817549,.52785873,.8960247,1.1761546,.063579939,.097362302,.00013986704,.078440689,.09483818,.080184087,.70667267,.87051392,.17777681,.67900419,1.0996222,1.35355,.076550066,.042988311,.00017910002,.10044347,.11137682,.10267591
1971m6,.48519373,1.196146,.12396574,.55646896,.86653233,1.2322903,.054503273,.13675064,0,.063485719,.034402065,.15340911,.72495937,.8387804,.15946627,.71531534,1.0573268,1.4247179,.061288714,.032587197,0,.081190214,.034204345,.18518494
1971m7,.40849447,1.1740208,.12142658,.55931807,.82067251,1.3174891,-.0051130797,.063026778,.000076025281,.035524804,.060036913,.14737654,.72478056,.80829859,.15619993,.7185936,.98196268,1.5381932,.033067405,.059935886,.000097150281,.045396011,.055548858,.18832779
1971m8,.44401884,1.1235476,.12142658,.547719,.84023476,1.358366,.011517209,.040451553,0,.051362235,.078886703,.11209129,.70632696,.57799816,.15619993,.70308447,1.0112882,1.5741706,.01777201,-.16099939,0,.065519243,.10063028,.12217944
1971m9,.25528669,1.0865211,.12116432,.55947304,.88647604,1.234746,-.039009187,.025360975,0,.049241841,.078239679,.041494209,.54199696,.57356954,.15586615,.71767569,1.0651469,1.4325142,-.066798024,.035816576,0,.062706821,.095040865,.047745761
