date,dem_HH_hdln_yoy,dem_H_hdln_yoy,dem_L_hdln_yoy,sup_HH_hdln_yoy,sup_H_hdln_yoy,sup_L_hdln_yoy,amb_hdln_yoy,dem_HH_hdln_mom,dem_H_hdln_mom,dem_L_hdln_mom,sup_HH_hdln_mom,sup_H_hdln_mom,sup_L_hdln_mom,amb_hdln_mom,dem_HH_core_yoy,dem_H_core_yoy,dem_L_core_yoy,sup_HH_core_yoy,sup_H_core_yoy,sup_L_core_yoy,amb_core_yoy,dem_HH_core_mom,dem_H_core_mom,dem_L_core_mom,sup_HH_core_mom,sup_H_core_mom,sup_L_core_mom,amb_core_mom
1969m1,,,,,,,,.027000001,.017000001,.029999999,.23800001,.035999998,.0020000001,.043000001,,,,,,,,.023,.022,.039000001,.19400001,.046,.0020000001,.055
1969m2,,,,,,,,.082000002,-.017999999,.003,.090999998,.017999999,.026000001,.050999999,,,,,,,,.090000004,.011,.001,.117,.025,.033,.066
1969m3,,,,,,,,.085000001,.026000001,.0049999999,.219,.026000001,.059999999,.050000001,,,,,,,,.097000003,.034000002,.0060000001,.22499999,.034000002,.015,.057999998
1969m4,,,,,,,,.071000002,.029999999,.0070000002,.22,.050000001,.017999999,.046,,,,,,,,.041999999,.037999999,.0089999996,.164,.064999998,.023,.048
1969m5,,,,,,,,.050999999,.021,.0040000002,.169,.064000003,0,.097000003,,,,,,,,.063000001,.027000001,.0049999999,.19599999,.082000002,-.001,.028999999
1969m6,,,,,,,,.079000004,.0080000004,.0070000002,.28600001,.048,0,.056000002,,,,,,,,.096000001,.0089999996,.0089999996,.13699999,.028999999,0,.066
1969m7,,,,,,,,-.0080000004,.0080000004,.012,.30199999,.052999999,.017000001,.052999999,,,,,,,,.014,.0049999999,.016000001,.27500001,.068000004,.017999999,.068000004
1969m8,,,,,,,,.067000002,.061000001,.0040000002,.082999997,.023,.016000001,.026000001,,,,,,,,.039999999,.066,.0049999999,.094999999,.028999999,.017999999,.033
1969m9,,,,,,,,.022,.012,.035999998,.28299999,.034000002,.012,.015,,,,,,,,.037999999,.015,.046999998,.234,.030999999,.016000001,.02
1969m10,,,,,,,,.012,.025,.048,.183,.037999999,.003,.034000002,,,,,,,,.039000001,.022,.061000001,.215,.043000001,.003,.043000001
1969m11,,,,,,,,.056000002,.017999999,.0080000004,.22499999,.097999997,.001,.027000001,,,,,,,,.071999997,.023,.011,.125,.126,.001,.027000001
1969m12,.56999999,.20999999,.18000001,2.6199999,.51999998,.19,.56,.028999999,.001,.011,.289,.033,.033,.064000003,.63999999,.27000001,.22,2.1600001,.62,.17,.60000002,.028999999,0,.014,.163,.043000001,.043000001,.081
1970m1,.73000002,.20999999,.18000001,2.45,.5,.19,.54000002,.18700001,.023,.035,.077,.012,.0020000001,.021,.75,.28,.23,2.05,.58999997,.17,.56999999,.126,.029999999,.044,.085000001,.015,.0020000001,.027000001
1970m2,.72000003,.28999999,.19,2.45,.54000002,.16,.60000002,.071000002,.055,.016000001,.090999998,.059,.0020000001,.105,.75,.31999999,.25,2.03,.62,.14,.56,.090999998,.050000001,.021,.1,.056000002,.003,.063000001
1970m3,.69,.25999999,.18000001,2.3399999,.56999999,.11,.56999999,.055,0,-.0040000002,.11,.059,.0080000004,.022,.72000003,.28,.23999999,2,.66000003,.14,.54000002,.071000002,-.0020000001,-.0049999999,.19,.075999998,.0099999998,.032000002
1970m4,.68000001,.25,.2,2.3800001,.56999999,.090000004,.62,.052999999,.024,.023,.25999999,.050000001,-.0020000001,.098999999,.74000001,.27000001,.25999999,1.95,.63999999,.11,.60000002,.063000001,.030999999,.028000001,.114,.045000002,0,.113
1970m5,.67000002,.23999999,.2,2.4100001,.55000001,.1,.55000001,.041000001,.0060000001,.0020000001,.197,.044,.0049999999,.024,.73000002,.28999999,.25,1.9400001,.60000002,.12,.61000001,.046999998,.037999999,.0020000001,.189,.037999999,.0060000001,.030999999
1970m6,.62,.23999999,.2,2.21,.5,.11,.58999997,.037999999,.003,.011,.093000002,-.0040000002,.017000001,.101,.67000002,.28,.25999999,1.96,.58999997,.14,.64999998,.041999999,.0040000002,.014,.154,.02,.02,.106
1970m7,.67000002,.31,.2,2,.50999999,.11,.58999997,.037999999,.082999997,.015,.094999999,.064000003,.014,.050999999,.69999999,.34999999,.25,1.8,.58999997,.14,.63,.043000001,.071999997,.0060000001,.117,.064000003,.017999999,.054000001
1970m8,.60000002,.27000001,.20999999,2,.55000001,.11,.63,0,.02,.0089999996,.083999999,.061999999,.015,.071000002,.73000002,.31,.25,1.8,.63,.14,.64999998,.067000002,.026000001,.011,.1,.075000003,.013,.052000001
1970m9,.72000003,.25999999,.18000001,1.87,.55000001,.14,.69,.142,-.001,.003,.154,.033,.044,.072999999,.77999997,.28999999,.20999999,1.72,.63999999,.18000001,.70999998,.090000004,-.0020000001,.0020000001,.15000001,.035999998,.056000002,.083999999
1970m10,.77999997,.23999999,.17,1.92,.58999997,.14,.72000003,.067000002,.011,.043000001,.234,.074000001,.003,.066,.82999998,.28999999,.19,1.72,.64999998,.18000001,.75,.086000003,.015,.044,.21699999,.052000001,.0040000002,.079999998
1970m11,.76999998,.25,.18000001,1.9,.52999997,.15000001,.75,.046,.02,.02,.198,.044,.012,.056000002,.81,.28999999,.20999999,1.87,.56999999,.19,.79000002,.054000001,.025,.026000001,.27700001,.050999999,.015,.067000002
1970m12,.88,.28999999,.19,1.75,.51999998,.12,.75,.138,.048,.012,.147,.025,.0020000001,.064000003,.94999999,.34999999,.20999999,1.88,.56,.15000001,.75999999,.162,.059,.016000001,.17399999,.032000002,.0020000001,.050000001
1971m1,.63,.28999999,.19,1.8,.55000001,.13,.75999999,-.055,.017000001,.041000001,.119,.041000001,.0070000002,.022,.91000003,.31999999,.22,1.95,.60000002,.16,.75999999,.085000001,.0060000001,.052999999,.147,.048999999,.0080000004,.028000001
1971m2,.57999998,.30000001,.19,1.87,.5,.13,.64999998,.018999999,.071999997,.015,.16500001,.003,.011,.003,.88999999,.37,.20999999,2.02,.54000002,.17,.69999999,.074000001,.093000002,.018999999,.17200001,.0040000002,.014,.003
1971m3,.57999998,.31,.2,1.99,.46000001,.13,.64999998,.050999999,.0099999998,.0020000001,.223,.018999999,.0049999999,.018999999,.91000003,.38999999,.22,2,.47,.16,.69,.094999999,.017999999,.003,.169,.0080000004,.0060000001,.017000001
1971m4,.58999997,.30000001,.19,1.96,.43000001,.13,.58999997,.061000001,.014,.014,.236,.023,0,.041000001,.93000001,.37,.20999999,2.0699999,.44999999,.16,.62,.078000002,.017000001,.017000001,.185,.022,0,.050999999
1971m5,.64999998,.31999999,.19,1.91,.47999999,.13,.61000001,.1,.024,.003,.142,.094999999,.0040000002,.046,1,.37,.20999999,2.0599999,.44999999,.16,.64999998,.119,.030999999,-.001,.18000001,.041000001,.0049999999,.059
1971m6,.67000002,.31999999,.19,2.05,.54000002,.15000001,.56,.059999999,.001,.0099999998,.236,.054000001,.029999999,.050000001,1.03,.36000001,.20999999,2.0799999,.47999999,.18000001,.60000002,.068999998,.0020000001,.013,.177,.044,.039999999,.050000001
1971m7,.69999999,.25,.17,2.1099999,.47999999,.14,.56999999,.067000002,.014,.001,.154,.001,.0070000002,.057999998,1.04,.31,.2,2.1400001,.41,.17,.66000003,.059,.017999999,.001,.176,.001,.0080000004,.118
1971m8,.74000001,.25,.17,2.1600001,.47,.13,.52999997,.046,.02,.0060000001,.12899999,.054000001,.0080000004,.032000002,1.04,.31,.2,2.1500001,.23999999,.17,.63999999,.061999999,.025,.0080000004,.102,-.093999997,.0099999998,.033
1971m9,.69999999,.25,.16,2.0899999,.44,.090000004,.41999999,.101,.0020000001,-.0049999999,.082999997,.0099999998,.0049999999,-.039999999,1.0599999,.31,.19,2.0899999,.22,.12,.50999999,.109,.0040000002,-.0060000001,.097999997,.012,.0060000001,-.048999999
1971m10,.66000003,.25,.12,1.91,.38,.12,.37,.028000001,.0070000002,.0020000001,.066,.0060000001,.029999999,.017000001,.99000001,.31,.15000001,1.96,.18000001,.14,.44999999,.017000001,.0080000004,.0020000001,.081,.0070000002,.023,.02
1971m11,.64999998,.23,.12,1.8099999,.36000001,.12,.34,.029999999,-.0040000002,.021,.093000002,.025,.014,.027000001,.95999998,.28,.15000001,1.77,.16,.15000001,.41,.024,-.0049999999,.026000001,.097000003,.032000002,.022,.029999999
1971m12,.57999998,.31999999,.12,1.8099999,.36000001,.12,.28,.071000002,.147,.0049999999,.14399999,.025,0,.0040000002,.87,.25,.14,1.77,.16,.15000001,.36000001,.075999998,.027000001,.0060000001,.169,.030999999,.003,.0049999999
1972m1,.69999999,.28999999,.07,1.95,.34999999,.12,.31,.068999998,-.022,.001,.26499999,.037,.0049999999,.056000002,.88,.25,.090000004,1.8200001,.15000001,.14,.41,.090000004,.014,.001,.198,.046999998,.0060000001,.071000002
1972m2,.69,.20999999,.25,1.88,.41999999,.1,.34999999,.0089999996,.001,.19,.096000001,.068999998,-.0040000002,.034000002,.80000001,.16,.090000004,1.76,.23999999,.13,.46000001,.0020000001,.001,.018999999,.11,.086999997,-.0049999999,.057
1972m3,.67000002,.22,.25999999,1.6900001,.41,.1,.36000001,.028000001,.02,.016000001,.035,.0070000002,-.001,.037,.74000001,.17,.11,1.66,.23999999,.12,.47999999,.029999999,.023,.021,.077,.0089999996,-.001,.039000001
1972m4,.60000002,.25,.25,1.55,.38999999,.1,.34,-.012,.041000001,.003,.097999997,.0080000004,0,.017000001,.68000001,.2,.090000004,1.59,.23,.12,.46000001,.024,.052000001,.0040000002,.114,.0099999998,0,.029999999
1972m5,.55000001,.23,.25999999,1.49,.31,.1,.34999999,.054000001,.0080000004,.0089999996,.078000002,.0099999998,.003,.056000002,.61000001,.18000001,.11,1.5,.2,.12,.47,.041000001,.0099999998,.012,.089000002,.013,.0040000002,.067000002
1972m6,.5,.28999999,.25,1.3,.27000001,.07,.31,.0060000001,.057999998,-.003,.055,.023,.0020000001,.012,.56,.25,.090000004,1.35,.20999999,.079999998,.44,.027000001,.072999999,-.003,.025,.059999999,.0020000001,.015
1972m7,.46000001,.30000001,.25,1.35,.30000001,.11,.28999999,.026000001,.022,.003,.198,.024,.045000002,.037999999,.52999997,.25,.090000004,1.3200001,.23999999,.090000004,.36000001,.024,.018999999,.003,.148,.030999999,.015,.046999998
