date,dem_hdln_yoy,sup_hdln_yoy,dem_hdln_qoq,sup_hdln_qoq,dem_core_yoy,sup_core_yoy,dem_core_qoq,sup_core_qoq
1969q1,,,.44799438,.52324802,,,.42569515,.67061031
1969q2,,,.39867872,.87654722,,,.41085839,.78769922
1969q3,,,.38177103,.8428632,,,.46616331,.68838489
1969q4,1.6199112,3.0318379,.38795209,.766545,1.7690301,2.875495,.46209767,.7107088
1970q1,1.5387654,3.302002,.36727577,.79071808,1.7890215,2.8421998,.44579348,.64035529
1970q2,1.7250657,2.9359698,.58431447,.51793474,2.016592,2.5359869,.63752562,.48617902
1970q3,1.749146,2.6455879,.40573055,.55912662,1.9960523,2.5051951,.44548792,.65938562
1970q4,1.824975,2.7215362,.46306658,.84183288,2.0305634,2.7129531,.49578363,.91690522
1971q1,1.9030094,2.407372,.44511977,.47961691,2.242744,2.660656,.65664607,.58797967
1971q2,1.6453147,2.6969433,.32752895,.8047812,2.1078348,2.8043032,.5032503,.62829965
1971q3,1.4296055,2.9319525,.19132197,.79086816,1.8725872,2.8778434,.21239245,.73175418
1971q4,1.2293339,2.4460435,.26340553,.3609629,1.6986847,2.2078514,.32267949,.25272158
1972q1,1.0927558,2.7228475,.3085703,.75317031,1.4663935,2.1606922,.42491081,.54085755
1972q2,.97070932,2.2897482,.20609531,.37604129,1.2576818,1.918602,.29541761,.38763353
1972q3,1.057899,2.0986676,.27799252,.60067666,1.2776732,1.7064571,.2319624,.52074695
1972q4,1.2700677,2.0791292,.47475854,.34265211,1.2088418,1.8303514,.25436661,.37670022
1973q1,1.2940645,2.2091746,.33237645,.88141757,1.0900378,1.6764641,.30650809,.38699988
1973q2,1.5027523,3.3624768,.41317275,1.5130271,1.2486815,2.2040009,.45334008,.91107202
1973q3,1.4256001,4.3895602,.20163515,1.6195295,1.2384534,2.8059006,.22186604,1.1160457
1973q4,1.6915321,5.3874969,.7397089,1.3189026,1.1423469,3.680563,.15873191,1.2396328
